chg01,chg02,chg03,chg04,chg05,chg06,chg07,chg08,chg09,chg0a,chg0b,chg0c,chg0d,chg0e,chg0f,chg0g,chg0h,chg0j
#316 - HRIS Project,LTIP,PDS / HRG,14/06/2019,Development,TBC,TBC,TBC,10,15/11/2021,10/05/2022,next IOB meeting (scheduled: dd/mm/2019),esse et ullamcoduis consequat nostrud adipiscing,https://d3-graph-gallery.com/graph/line_confidence_interval.html,TBC,TBC,TBC,TBC
#256 - RFL Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,12,15/08/2020,27/04/2022,next IOB meeting (scheduled: dd/mm/2019),ut magnam dolorem voluptatem,https://www.visualcinnamon.com/portfolio/words-lord-of-the-rings,TBC,TBC,TBC,TBC
#432 - EKJ Project,NON-LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,8,15/01/2022,23/01/2023,next IOB meeting (scheduled: dd/mm/2019),expedita iusto doloresautem repellat eligendi molestias,https://www.visualcinnamon.com/portfolio/beautiful-in-english,TBC,TBC,TBC,TBC
#272 - KNH Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,14,15/06/2021,05/01/2022,approval from psc,possit ei eialterum aliquam pro vis,https://www.visualcinnamon.com/portfolio/adyen-report-2019,TBC,TBC,TBC,TBC
#448 - LNL Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,15,15/05/2019,11/07/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",de et finibusfinibus de et malorum,https://www.visualcinnamon.com/portfolio/sciam-fermi-paradox,TBC,TBC,TBC,TBC
#384 - QGI Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,4,15/12/2019,20/02/2023,next IOB meeting (scheduled: dd/mm/2019),ius melius apeirianno vivendo putent elit,https://www.visualcapitalist.com/biggest-public-companies-in-the-world-2022,TBC,TBC,TBC,TBC
#288 - KJO Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,7,15/08/2019,26/06/2022,approval from psc,ut veniam tibique cibo contentiones,https://github.com/holtzy/D3-graph-gallery,TBC,TBC,TBC,TBC
#336 - MHJ Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,14,15/10/2019,23/08/2023,Benefits signoff w' sponsor,has an mentitumet te aperiri ex,https://www.visualcapitalist.com/disruptive-materials-visualizing-americas-import-dependency,TBC,TBC,TBC,TBC
#480 - GKF Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,9,15/01/2022,07/08/2023,Awaiting Budget approval (expected dd/mm/2019),eam nec temporibuscibo habemus nec et,https://www.visualcinnamon.com/portfolio/beautiful-in-english,TBC,TBC,TBC,TBC
#432 - MGE Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,10,15/06/2021,11/11/2021,Benefits signoff w' sponsor,quod nostro cumno apeirian at nostro,https://www.visualcinnamon.com/portfolio/exoplanet-neighbors,TBC,TBC,TBC,TBC
#480 - RJK Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,16,15/08/2020,27/06/2023,Benefits signoff w' sponsor,no meis illumet meis democritum recteque,https://www.visualcinnamon.com/portfolio,TBC,TBC,TBC,TBC
#320 - OOO Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,6,15/08/2021,24/12/2021,Benefits signoff w' sponsor,patrioque ornatus omittamnihil vim essent essent,https://www.visualcinnamon.com/portfolio/lighthouse-reports-frontex,TBC,TBC,TBC,TBC
